objectid,filename,title,format,filesize,parentid,description,type,color,yarnweight,fibercontent,yardage,needlesize,subject,pattern,difficulty,rights
coll001,greenshawl.jpg,Green Shawl,image/jpg;multiple,219 KB,,"This simple shawl made with remaining yarn from the green cardigan was designed to fit either as a scarf and blend in with the cardigan, or be tied with the I-cord at the ends to create a wrap effect. The piece required no pattern; instead the amount of yarn was calculated and the triangle was created by increasing for half the amount of yarn and then decreasing for the other half. ",Shawl,Green,Worsted,60%Wool;40%Bamboo,400 Yards,US Size 7,Decreases;Garter Stitch;I-Cord;Increases,Self Drafted,1/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll002,greenshawl.jpg,,image/jpg,,coll001,,,,,,,,,,,
coll003,greenshawldetails.jpg,,image/jpg,,coll001,,,,,,,,,,,
coll004,bluewhitepinksocks.jpg,"Blue, White, and Pink Socks",image/jpg;multiple,222 KB,,"These socks are made with helical stripes, which allows for seamless colorwork rather than a jog at the beginning of each row for a color change. The socks are worked in the round from the top down, the heel flap is reinforced with slip stitches, then decreases shape the heel into the foot and toe. Finished with kitchener stitch for a seamless finish at the front as I hate having bulky seams at my toes.",Socks,Blue;White;Pink,Fingering,75%Merino;25%Nylon,250 Yards,US Size 2,Decreases;Gusset;Heel Flap;Helical Stripes;Kitchener Stitch;Knit in the Round;Magic Loop;Pick up Stitches;Ribbed Stitch;Seamless Construction;Top Down,Self Drafted,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll005,bluewhitepinksocks.jpg,,image/jpg,,coll004,,,,,,,,,,,
coll006,bluewhitepinksocksdetails.jpg,,image/jpg,,coll004,,,,,,,,,,,
coll007,whiteorangesocks.jpg,White and Orange Socks,image/jpg;multiple,282 KB,,"These socks are constructed from the toe up using Judy's Magic Cast On, a tricky but satisfying technique for a seamless toe. The lace pattern on top creates variety, and the heel is completed with wrap and turns. ",Socks,White;Orange,Fingering,75%Merino;25%Nylon,250 Yards,US Size 2,Decreases;Gusset;Increases;Judy's Magic Cast On;Knit in the Round;Lace;Magic Loop;Ribbed Stitch;Seamless Construction;Stockinette Stitch;Toe Up; Wrap and Turns,https://www.ravelry.com/patterns/library/elfin-lace-socks,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll008,whiteorangesocks.jpg,,image/jpg,,coll007,,,,,,,,,,,
coll009,whiteorangesocksdetails.jpg,,image/jpg,,coll007,,,,,,,,,,,
coll010,greencardigan.jpg,Green Cardigan,image/jpg;multiple,238 KB,,"This cardigan was made from wrist to wrist starting with a simple garter edging, then increasing for the arm, knitting flat to form the back, and then joining again in the round and decreases back down to the garter edge wrist. Then stitches are picked up all around the flat edge to create a warm wrapping front in a garter stitch to match the sleeves.",Cardigan,Green,Worsted,60%Wool;40%Bamboo,1400 Yards,US Size 6;US Size 7,Decreases;Garter Stitch;Increases;Knit Flat;Knit in the Round;Magic Loop;Pick up Stitches;Seamless Construction,https://www.ravelry.com/patterns/library/maeve-5,2/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll011,greencardigan.jpg,,image/jpg,,coll010,,,,,,,,,,,
coll012,greencardigandetails.jpg,,image/jpg,,coll010,,,,,,,,,,,
coll013,blueshawl.jpg,Blue Shawl,image/jpg;multiple,153 KB,,This wonderfully oversized shawl is comprised of a lace pattern aptly named after fortune cookies. The triangular shape is made through increases down the center spine of the shawl and it is finished with a ruffled twisted rib stitch. I added an extra row of lace resulting in a ribbed edging that was over 1200 stitches per row.,Shawl,Blue,DK,85%Merino;15%Nylon,1200 Yards,US Size 6,Decreases;Increases;Knit Flat;Lace;Ribbed Stitch;Seamless Construction,https://www.ravelry.com/patterns/library/fortune-cookie-8,4/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll014,blueshawl.jpg,,image/jpg,,coll013,,,,,,,,,,,
coll015,blueshawldetails.jpg,,image/jpg,,coll013,,,,,,,,,,,
